Deck Name,Event,Decklist
George Mean-Chaos Control,SJC Anaheim 2004,"Main Deck — Monsters:
2x Berserk Gorilla
1x Black Luster Soldier - Envoy of the Beginning
1x Blade Knight
1x Breaker the Magical Warrior
3x D.D. Warrior Lady
1x Dark Magician of Chaos
1x Exiled Force
1x Fiber Jar
1x Jinzo
1x Magical Scientist
1x Magician of Faith
1x Sinister Serpent
1x Spirit Reaper
1x Tribe-Infecting Virus

Main Deck — Spells:
1x Book of Moon
1x Change of Heart
1x Confiscation
1x Emergency Provisions
1x Heavy Storm
1x Mirage of Nightmare
1x Mystical Space Typhoon
1x Nobleman of Crossout
1x Painful Choice
1x Pot of Greed
1x Premature Burial
1x Scapegoat
1x Smashing Ground
1x Snatch Steal
1x Swords of Revealing Light
1x The Forceful Sentry

Main Deck — Traps:
2x Bottomless Trap Hole
1x Call of the Haunted
1x Raigeki Break
1x Ring of Destruction
1x Torrential Tribute
1x Waboku

Extra Deck — Fusions:
2x Dark Balter the Terrible
1x Dark Blade the Dragon Knight
1x Dark Flare Knight
1x Empress Judge
1x Fiend Skull Dragon
1x Giltia the D. Knight
1x Musician King
1x Punished Eagle
1x Reaper on the Nightmare
1x Roaring Ocean Snake
1x Ryu Senshi
1x Sanwitch
2x Thousand-Eyes Restrict"
Gerard Ramirez-Goat Control,SJC Anaheim 2004,"Main Deck — Monsters:
1x Airknight Parshath
1x Apprentice Magician
1x Black Luster Soldier - Envoy of the Beginning
1x Blade Knight
1x Breaker the Magical Warrior
2x D.D. Warrior Lady
1x Don Zaloog
1x Exiled Force
1x Fiber Jar
1x Jinzo
1x Kycoo the Ghost Destroyer
1x Magical Scientist
1x Magician of Faith
1x Sinister Serpent
1x Tribe-Infecting Virus

Main Deck — Spells:
1x Card Destruction
1x Change of Heart
1x Confiscation
1x Creature Swap
1x Enemy Controller
1x Heavy Storm
1x Metamorphosis
1x Mystical Space Typhoon
1x Nobleman of Crossout
1x Painful Choice
1x Pot of Greed
1x Premature Burial
1x Reinforcement of the Army
1x Scapegoat
1x Smashing Ground
1x Snatch Steal
1x Swords of Revealing Light
1x The Forceful Sentry

Main Deck — Traps:
1x Bottomless Trap Hole
1x Call of the Haunted
1x Dust Tornado
1x Ring of Destruction
1x Sakuretsu Armor
1x Torrential Tribute

Extra Deck — Fusions:
2x Dark Balter the Terrible
1x Dark Blade the Dragon Knight
1x Dark Flare Knight
1x Darkfire Dragon
1x Flame Ghost
1x Giltia the D. Knight
1x Master of Oz
1x Ojama King
1x Reaper on the Nightmare
1x Ryu Senshi
1x The Last Warrior from Another Planet
3x Thousand-Eyes Restrict"
Henry Ke-Scientist FTK,SJC Anaheim 2004,"Main Deck — Monsters:
1x Cannon Soldier
3x Catapult Turtle
1x Dark Magician of Chaos
3x Gilasaurus
1x Magical Scientist

Main Deck — Spells:
1x A Legendary Ocean
1x Card Destruction
3x Last Will
3x Monster Gate
3x Monster Reincarnation
1x Mystic Plasma Zone
1x Mystik Wok
1x Painful Choice
1x Pot of Greed
1x Premature Burial
3x Reasoning
3x Reload
3x Serial Spell
3x Spell Reproduction
3x Terraforming
1x Upstart Goblin

Extra Deck — Fusions:
1x Dark Balter the Terrible
3x Dark Blade the Dragon Knight
3x Dark Flare Knight
3x Roaring Ocean Snake
1x Ryu Senshi
3x Sanwitch
1x Thousand-Eyes Restrict"
Hugo Adame-Chaos Control,SJC Anaheim 2004,"Main Deck — Monsters:
1x Black Luster Soldier - Envoy of the Beginning
1x Breaker the Magical Warrior
3x D.D. Warrior Lady
1x Dark Magician
1x Dark Magician of Chaos
1x Fiber Jar
1x Magical Scientist
2x Magician of Faith
2x Mystic Tomato
1x Sinister Serpent
2x Skilled Dark Magician
1x Tribe-Infecting Virus

Main Deck — Spells:
2x Book of Moon
1x Change of Heart
1x Confiscation
1x Emergency Provisions
1x Heavy Storm
1x Mirage of Nightmare
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Painful Choice
1x Pot of Greed
1x Premature Burial
1x Smashing Ground
1x Snatch Steal
1x Swords of Revealing Light
1x The Forceful Sentry

Main Deck — Traps:
1x Call of the Haunted
1x Dust Tornado
1x Ring of Destruction
1x Torrential Tribute
2x Waboku

Extra Deck — Fusions:
2x Dark Balter the Terrible
1x Dark Blade the Dragon Knight
1x Dark Flare Knight
1x Dark Paladin
1x Fiend Skull Dragon
1x Musician King
1x Ojama King
1x Reaper on the Nightmare
2x Ryu Senshi
1x The Last Warrior from Another Planet
3x Thousand-Eyes Restrict"
John Umali-Goat Control,SJC Anaheim 2004,"Main Deck — Monsters:
1x Airknight Parshath
1x Berserk Gorilla
1x Black Luster Soldier - Envoy of the Beginning
1x Blade Knight
1x Breaker the Magical Warrior
2x D.D. Warrior Lady
1x Dark Magician of Chaos
1x Fiber Jar
1x Jinzo
1x Kycoo the Ghost Destroyer
1x Magical Scientist
2x Magician of Faith
1x Reflect Bounder
1x Sinister Serpent
1x Tribe-Infecting Virus

Main Deck — Spells:
1x Book of Moon
1x Change of Heart
1x Confiscation
1x Creature Swap
1x Emergency Provisions
1x Heavy Storm
1x Metamorphosis
1x Mirage of Nightmare
1x Mystical Space Typhoon
1x Nobleman of Crossout
1x Painful Choice
1x Pot of Greed
1x Premature Burial
2x Scapegoat
1x Snatch Steal
1x Swords of Revealing Light
1x The Forceful Sentry

Main Deck — Traps:
1x Bottomless Trap Hole
1x Call of the Haunted
1x Raigeki Break
1x Ring of Destruction
1x Torrential Tribute

Extra Deck — Fusions:
2x Dark Balter the Terrible
2x Dark Blade the Dragon Knight
1x Darkfire Dragon
1x Dragoness the Wicked Knight
1x Fiend Skull Dragon
1x Giltia the D. Knight
1x Ojama King
1x Reaper on the Nightmare
2x Ryu Senshi
3x Thousand-Eyes Restrict"
Juan Cardenas-Goat Control,SJC Anaheim 2004,"Main Deck — Monsters:
1x Airknight Parshath
1x Apprentice Magician
2x Berserk Gorilla
1x Black Luster Soldier - Envoy of the Beginning
1x Breaker the Magical Warrior
3x D.D. Warrior Lady
1x Jinzo
1x Kycoo the Ghost Destroyer
1x Magical Scientist
2x Magician of Faith
1x Sinister Serpent
1x Tribe-Infecting Virus

Main Deck — Spells:
1x Book of Moon
1x Change of Heart
1x Confiscation
1x Emergency Provisions
1x Enemy Controller
1x Heavy Storm
1x Mirage of Nightmare
1x Mystical Space Typhoon
1x Nobleman of Crossout
1x Painful Choice
1x Pot of Greed
1x Premature Burial
1x Scapegoat
1x Smashing Ground
1x Snatch Steal
1x Swords of Revealing Light
1x The Forceful Sentry

Main Deck — Traps:
1x Call of the Haunted
2x Dust Tornado
1x Raigeki Break
1x Ring of Destruction
1x Sakuretsu Armor
1x Torrential Tribute

Extra Deck — Fusions:
2x Dark Balter the Terrible
2x Dark Blade the Dragon Knight
1x Dark Flare Knight
1x Fiend Skull Dragon
1x Giltia the D. Knight
1x Ojama King
1x Reaper on the Nightmare
2x Ryu Senshi
1x Sanwitch
3x Thousand-Eyes Restrict"
Miguel Flores-Earth Beat,SJC Anaheim 2004,"Main Deck — Monsters:
3x Berserk Gorilla
1x Breaker the Magical Warrior
1x Dark Driceratops
3x Enraged Battle Ox
1x Exiled Force
1x Fiber Jar
1x Giant Rat
2x Gigantes
1x Jinzo
1x Magical Scientist
3x Nimble Momonga
1x Pitch-Black Warwolf
1x Tribe-Infecting Virus

Main Deck — Spells:
1x Axe of Despair
1x Book of Moon
1x Change of Heart
1x Giant Trunade
1x Heavy Storm
1x Monster Reincarnation
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Pot of Greed
1x Premature Burial
1x Scapegoat
2x Smashing Ground
1x Snatch Steal
1x The Forceful Sentry

Main Deck — Traps:
2x Bottomless Trap Hole
1x Call of the Haunted
1x Ring of Destruction
1x Royal Decree
1x Sakuretsu Armor
1x Trap Hole
1x Waboku

Extra Deck — Fusions:
2x Dark Balter the Terrible
2x Dark Blade the Dragon Knight
2x Dark Flare Knight
2x Fiend Skull Dragon
1x Reaper on the Nightmare
2x Roaring Ocean Snake
2x Ryu Senshi
2x Thousand-Eyes Restrict"
Patrick Holmes-Goat Control,SJC Anaheim 2004,"Main Deck — Monsters:
1x Airknight Parshath
1x Black Luster Soldier - Envoy of the Beginning
1x Blade Knight
1x Breaker the Magical Warrior
3x D.D. Warrior Lady
1x Exiled Force
1x Fiber Jar
1x Jinzo
1x Kycoo the Ghost Destroyer
1x Magical Scientist
1x Magician of Faith
1x Sinister Serpent
1x Skilled Dark Magician
1x Spirit Reaper
1x Tribe-Infecting Virus

Main Deck — Spells:
1x Book of Moon
1x Change of Heart
1x Confiscation
1x Creature Swap
1x Enemy Controller
1x Heavy Storm
1x Mystical Space Typhoon
1x Nobleman of Crossout
1x Painful Choice
1x Pot of Greed
1x Premature Burial
1x Scapegoat
1x Smashing Ground
1x Snatch Steal
1x Swords of Revealing Light
1x The Forceful Sentry

Main Deck — Traps:
1x Bottomless Trap Hole
1x Call of the Haunted
1x Magic Cylinder
1x Magic Drain
1x Ring of Destruction
1x Sakuretsu Armor
1x Torrential Tribute

Extra Deck — Fusions:
3x Dark Balter the Terrible
2x Dark Blade the Dragon Knight
2x Dark Flare Knight
1x Giltia the D. Knight
2x Rabid Horseman
1x Reaper on the Nightmare
2x Ryu Senshi
2x Thousand-Eyes Restrict"
Brent Yetter-Goat Control,SJC Atlanta 2005,"Main Deck — Monsters:
1x Airknight Parshath
1x Asura Priest
1x Black Luster Soldier - Envoy of the Beginning
1x Breaker the Magical Warrior
2x D.D. Assailant
1x D.D. Warrior Lady
1x Jinzo
1x Kycoo the Ghost Destroyer
2x Magician of Faith
1x Morphing Jar
1x Sangan
1x Sinister Serpent
1x Tribe-Infecting Virus
1x Tsukuyomi

Main Deck — Spells:
2x Book of Moon
1x Delinquent Duo
1x Graceful Charity
1x Heavy Storm
1x Lightning Vortex
2x Metamorphosis
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Pot of Greed
1x Premature Burial
3x Scapegoat
1x Snatch Steal
1x Swords of Revealing Light

Main Deck — Traps:
1x Call of the Haunted
1x Ceasefire
1x Dust Tornado
1x Mirror Force
1x Ring of Destruction
1x Sakuretsu Armor
1x Torrential Tribute

Extra Deck — Fusions:
1x Cyber End Dragon
1x Cyber Twin Dragon
1x Dark Balter the Terrible
2x Dark Blade the Dragon Knight
1x Darkfire Dragon
1x Dragoness the Wicked Knight
1x Fiend Skull Dragon
1x Gatling Dragon
1x King Dragun
1x Reaper on the Nightmare
1x Ryu Senshi
3x Thousand-Eyes Restrict"
Brian Long-Goat Control,SJC Atlanta 2005,"Main Deck — Monsters:
2x Airknight Parshath
1x Asura Priest
1x Black Luster Soldier - Envoy of the Beginning
1x Breaker the Magical Warrior
1x D.D. Assailant
1x D.D. Warrior Lady
1x Exarion Universe
1x Injection Fairy Lily
2x Magician of Faith
1x Sangan
1x Sinister Serpent
1x Spirit Reaper
1x Tribe-Infecting Virus
1x Tsukuyomi

Main Deck — Spells:
1x Book of Moon
1x Brain Control
1x Delinquent Duo
1x Different Dimension Capsule
1x Graceful Charity
1x Heavy Storm
1x Lightning Vortex
2x Metamorphosis
1x Mystical Space Typhoon
2x Nobleman of Crossout
1x Pot of Greed
1x Premature Burial
2x Scapegoat
1x Snatch Steal

Main Deck — Traps:
1x Call of the Haunted
1x Mirror Force
1x Ring of Destruction
3x Sakuretsu Armor
1x Torrential Tribute

Extra Deck — Fusions:
1x Cyber End Dragon
1x Cyber Twin Dragon
1x Dark Balter the Terrible
1x Dark Blade the Dragon Knight
1x Darkfire Dragon
1x Dragoness the Wicked Knight
1x Fiend Skull Dragon
1x Gatling Dragon
1x Giltia the D. Knight
1x Ojama King
1x Reaper on the Nightmare
1x Ryu Senshi
3x Thousand-Eyes Restrict"
